,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,position_simple,player_id
158,Bayer 04 Leverkusen,Pavel Hapal,22.0,Attacking Midfield,Sigma Olomouc,£1.13m,in,Summer,1.13,1 Bundesliga,1992,1992/1993,midfielder,112.0
160,1.FC Nuremberg,Percy Olivares,24.0,Left-Back,Sport. Cristal,£675Th.,in,Summer,0.675,1 Bundesliga,1992,1992/1993,defender,113.0
161,1.FC Nuremberg,Uwe Rösler,23.0,Centre-Forward,Dynamo Dresden,£540Th.,in,Summer,0.54,1 Bundesliga,1992,1992/1993,attacker,10989.0
165,1.FC Nuremberg,Hans-Jürgen Heidenreich,24.0,Right-Back,VfB Leipzig,£158Th.,out,Summer,0.158,1 Bundesliga,1992,1992/1993,defender,115.0
166,1.FC Nuremberg,Joachim Philipkowski,31.0,Sweeper,FC St. Pauli,£115Th.,out,Summer,0.115,1 Bundesliga,1992,1992/1993,defender,116.0
167,1. FC Köln,Kim Christofte,31.0,Left-Back,Bröndby IF,£122Th.,in,Summer,0.122,1 Bundesliga,1992,1992/1993,defender,117.0
168,1. FC Köln,Dirk Lehmann,20.0,Attacking Midfield,A. Aachen II,£14Th.,in,Summer,0.013999999999999999,1 Bundesliga,1992,1992/1993,midfielder,10991.0
169,1.FC Kaiserslautern,Marcus Marin,25.0,Centre-Forward,Stuttg. Kickers,£648Th.,in,Summer,0.648,1 Bundesliga,1992,1992/1993,attacker,10992.0
170,1.FC Kaiserslautern,Martin Wagner,24.0,Left Midfield,1.FC Nuremberg,£450Th.,in,Summer,0.45,1 Bundesliga,1992,1992/1993,midfielder,120.0
172,SV Werder Bremen,Bernd Hobsch,24.0,Centre-Forward,VfB Leipzig,£1.13m,in,Winter,1.13,1 Bundesliga,1992,1992/1993,attacker,10993.0
173,Eintracht Frankfurt,Dariusz Adamczuk,23.0,Defensive Midfield,Pogon Szczecin,£338Th.,in,Winter,0.33799999999999997,1 Bundesliga,1992,1992/1993,midfielder,122.0
174,Borussia Dortmund,Matthias Sammer,25.0,Defensive Midfield,Inter,£3.83m,in,Winter,3.83,1 Bundesliga,1992,1992/1993,midfielder,10994.0
175,1. FC Köln,Andrzej Kobylanski,22.0,Left Midfield,Siarka T.,£270Th.,in,Winter,0.27,1 Bundesliga,1992,1992/1993,midfielder,124.0
176,FC Girondins Bordeaux,Zinédine Zidane,20.0,Attacking Midfield,Cannes,£6.30m,in,Summer,6.3,Ligue 1,1992,1992/1993,midfielder,10996.0
177,RC Strasbourg Alsace,Michael Hughes,20.0,Attacking Midfield,Man City,£450Th.,in,Summer,0.45,Ligue 1,1992,1992/1993,midfielder,10997.0
178,RC Strasbourg Alsace,Tomasz Frankowski,17.0,Centre-Forward,Jagiellonia,£180Th.,in,Summer,0.18,Ligue 1,1992,1992/1993,attacker,10998.0
179,AS Monaco,Jürgen Klinsmann,27.0,Centre-Forward,Inter,£6.30m,in,Summer,6.3,Ligue 1,1992,1992/1993,attacker,10999.0
182,Olympique Marseille,Trevor Steven,28.0,Right Midfield,Rangers,£2.34m,out,Summer,2.34,Ligue 1,1992,1992/1993,midfielder,129.0
184,AJ Auxerre,Moussa Saïb,23.0,Left Midfield,JS Kabylie,£34Th.,in,Summer,0.034,Ligue 1,1992,1992/1993,midfielder,11000.0
186,Paris Saint-Germain,George Weah,25.0,Centre-Forward,Monaco,£5.85m,in,Summer,5.85,Ligue 1,1992,1992/1993,attacker,11001.0
188,Milan AC,Jean-Pierre Papin,28.0,Centre-Forward,Marseille,£10.80m,in,Summer,10.8,Serie A,1992,1992/1993,attacker,11002.0
189,Milan AC,Gianluigi Lentini,23.0,Right Winger,Torino,£8.60m,in,Summer,8.6,Serie A,1992,1992/1993,attacker,133.0
190,Milan AC,Dejan Savicevic,25.0,Attacking Midfield,Red Star,£4.14m,in,Summer,4.14,Serie A,1992,1992/1993,midfielder,134.0
192,Cagliari Calcio,Luis Oliveira,23.0,Centre-Forward,RSC Anderlecht,£2.70m,in,Summer,2.7,Serie A,1992,1992/1993,attacker,11003.0
193,Ancona Calcio,Sergio Zárate,23.0,Centre-Forward,1.FC Nuremberg,Loan fee:£315Th.,in,Summer,0.315,Serie A,1992,1992/1993,attacker,11004.0
194,UC Sampdoria,Des Walker,26.0,Centre-Back,Nottm Forest,£1.53m,in,Summer,1.53,Serie A,1992,1992/1993,defender,11005.0
196,Atalanta BC,Maurizio Ganz,23.0,Centre-Forward,Brescia,£108Th.,in,Summer,0.10800000000000001,Serie A,1992,1992/1993,attacker,11006.0
198,Juventus FC,Gianluca Vialli,27.0,Centre-Forward,Sampdoria,£14.85m,in,Summer,14.85,Serie A,1992,1992/1993,attacker,139.0
199,Juventus FC,David Platt,26.0,Attacking Midfield,Bari,£8.78m,in,Summer,8.78,Serie A,1992,1992/1993,midfielder,11007.0
202,AC Fiorentina,Brian Laudrup,23.0,Right Winger,Bayern Munich,£4.50m,in,Summer,4.5,Serie A,1992,1992/1993,attacker,11008.0
203,AC Fiorentina,Stefan Effenberg,23.0,Central Midfield,Bayern Munich,£3.38m,in,Summer,3.38,Serie A,1992,1992/1993,midfielder,11009.0
205,Udinese Calcio,Marco Delvecchio,19.0,Centre-Forward,Inter,Loan fee:£135Th.,in,Summer,0.135,Serie A,1992,1992/1993,attacker,11010.0
206,SS Lazio,Paul Gascoigne,25.0,Attacking Midfield,Spurs,£6.66m,in,Summer,6.66,Serie A,1992,1992/1993,midfielder,11011.0
207,SS Lazio,Giuseppe Favalli,20.0,Left-Back,Cremonese,£2.32m,in,Summer,2.32,Serie A,1992,1992/1993,defender,145.0
208,SS Lazio,Diego Fuser,23.0,Right Midfield,Milan,£1.80m,in,Summer,1.8,Serie A,1992,1992/1993,midfielder,11012.0
209,SS Lazio,Aron Winter,25.0,Defensive Midfield,Ajax,£1.17m,in,Summer,1.17,Serie A,1992,1992/1993,midfielder,11013.0
211,FC Internazionale,Darko Pancev,26.0,Centre-Forward,Red Star,£10.80m,in,Summer,10.8,Serie A,1992,1992/1993,attacker,11014.0
212,FC Internazionale,Igor Shalimov,23.0,Attacking Midfield,Foggia,£6.08m,in,Summer,6.08,Serie A,1992,1992/1993,midfielder,11015.0
213,FC Internazionale,Rubén Sosa,26.0,Centre-Forward,Lazio,£5.40m,in,Summer,5.4,Serie A,1992,1992/1993,attacker,11016.0
214,FC Internazionale,Matthias Sammer,24.0,Defensive Midfield,VfB Stuttgart,£5.40m,in,Summer,5.4,Serie A,1992,1992/1993,midfielder,10995.0
215,FC Internazionale,Salvatore Schillaci,27.0,Centre-Forward,Juventus,£990Th.,in,Summer,0.99,Serie A,1992,1992/1993,attacker,151.0
219,Brescia Calcio,Gheorghe Hagi,27.0,Attacking Midfield,Real Madrid,£1.80m,in,Summer,1.8,Serie A,1992,1992/1993,midfielder,11017.0
220,Brescia Calcio,Ovidiu Sabau,24.0,Central Midfield,Feyenoord,£1.43m,in,Summer,1.43,Serie A,1992,1992/1993,midfielder,153.0
222,AS Roma,Sinisa Mihajlovic,23.0,Centre-Back,Red Star,£4.05m,in,Summer,4.05,Serie A,1992,1992/1993,defender,11018.0
224,SL Benfica,João Pinto,20.0,Second Striker,Boavista,£2.25m,in,Summer,2.25,Liga Nos,1992,1992/1993,attacker,155.0
226,Ajax Amsterdam,Marc Overmars,19.0,Left Winger,Willem II,£817Th.,in,Summer,0.8170000000000001,Eredivisie,1992,1992/1993,attacker,11019.0
227,Ajax Amsterdam,Jari Litmanen,21.0,Attacking Midfield,MYPA,£13Th.,in,Summer,0.013000000000000001,Eredivisie,1992,1992/1993,midfielder,11020.0
229,Sparta Rotterdam,Winston Bogarde,21.0,Centre-Back,Excelsior,£5Th.,in,Summer,0.005,Eredivisie,1992,1992/1993,defender,11021.0
231,MVV Maastricht,Alloy Agu,24.0,Goalkeeper,RC Lüttich,£205Th.,out,Summer,0.205,Eredivisie,1992,1992/1993,goalkeeper,159.0
232,PSV Eindhoven,Arthur Numan,22.0,Left-Back,Twente FC,£1.15m,in,Summer,1.15,Eredivisie,1992,1992/1993,defender,11022.0
234,Twente Enschede FC,Mitar Mrkela,26.0,Left Winger,Besiktas,£328Th.,out,Summer,0.32799999999999996,Eredivisie,1992,1992/1993,attacker,161.0
235,Feyenoord Rotterdam,Michael Obiku,23.0,Centre-Forward,Anorthosis,£327Th.,in,Summer,0.327,Eredivisie,1992,1992/1993,attacker,162.0
237,FC Groningen,Eric van Kessel,26.0,Left-Back,De Graafschap,£307Th.,in,Summer,0.307,Eredivisie,1992,1992/1993,defender,163.0
238,Roda JC Kerkrade,Peter Hofstede,25.0,Centre-Forward,De Graafschap,£286Th.,in,Summer,0.28600000000000003,Eredivisie,1992,1992/1993,attacker,164.0
